"","Percentile","Temperature","alpha","se.alpha","lower.alpha","upper.alpha","z","ROR","ROR.lower","ROR.upper","pvalue2sided"
"1",0,-27.3943510911784,0.0749657377768089,0.0705680964212629,-0.0633477312088663,0.213279206762484,1.06231769848649,1.07784722080994,0.938617030500502,1.23773018564155,0.288091482383191
"2",0.05,-5.56020815935319,0.0105982190173936,0.0173878428590126,-0.023481952986271,0.0446783910210583,0.609518909466121,1.01065457906999,0.976791602681241,1.0456915020475,0.542180542814929
"3",0.1,-2.58500264485675,0.00538662312355686,0.0146813233468654,-0.0233887706362994,0.0341620168834131,0.366903105141876,1.00540115706246,0.976882626659059,1.03475224048111,0.713691295179243
"4",0.15,-0.631182367086758,0.00269533561032804,0.0132100038752398,-0.023196271985142,0.0285869432057981,0.204037457958665,1.00269897129308,0.977070693347742,1.02899947145828,0.838324227360979
"5",0.2,0.913042275520953,0.00101455726823811,0.0120478510380943,-0.0225992307664267,0.024628345302903,0.0842106418007798,1.00101507210556,0.977654219002369,1.02493412814707,0.932888957310625
"6",0.25,2.37758430274624,-0.000192781073286458,0.0108374090679143,-0.0214341028463985,0.0210485406998256,-0.0177884835829639,0.999807237507791,0.97879397508094,1.02127162367371,0.985807592077295
"7",0.3,3.96667413743486,-0.00105384594972167,0.00930298016356602,-0.0192876870703111,0.0171799951708677,-0.113280468322284,0.998946709150907,0.98089713022583,1.01732842004919,0.909808201577575
"8",0.35,5.6283381144206,-0.00142858180840615,0.0073528722299079,-0.0158402113790256,0.0129830477622133,-0.194288947738733,0.99857243812884,0.984284584966857,1.01306769344981,0.845949639174725
"9",0.4,7.28333943684898,-0.00129289675991003,0.00505583489010522,-0.0112023331445163,0.0086165396246962,-0.255723691143545,0.998707938671025,0.988860179343104,1.00865376885447,0.798164200388912
"10",0.45,8.92250849405927,-0.000775027884494938,0.00256238663157486,-0.00579730568238166,0.00424724991339179,-0.30246328752449,0.999225272372042,0.994219466267847,1.00425628226233,0.762298915908416
"11",0.5,10.5634315180935,0,0,0,0,NA,1,1,1,NA
"12",0.55,12.1792226443427,0.00089216719522061,0.0024437897307912,-0.00389766067713015,0.00568199506757137,0.365075269766258,1.00089256529475,0.996109925343135,1.00569816821896,0.715055220620378
"13",0.6,13.8808344406946,0.00183771798746184,0.00479714669183016,-0.00756468952852527,0.011240125503449,0.38308563517384,1.00183940762603,0.992463850723913,1.01130353306106,0.701656270176027
"14",0.65,15.636673227946,0.00267416872233052,0.0068948158317986,-0.0108396703079947,0.0161880077526558,0.38785208881104,1.00267774750088,0.989218867218118,1.01631974343628,0.698125495592262
"15",0.7,17.3857241099149,0.0032235108241522,0.0086764711277791,-0.0137823725862948,0.0202293942345992,0.371523258324646,1.00322871192227,0.986312169474399,1.02043539517671,0.710247835959025
"16",0.75,18.9983395894369,0.00344341010337696,0.0102855550997983,-0.0167162778922278,0.0236030980989817,0.334781163482803,1.0034493454506,0.983422663807765,1.02388385578438,0.737790170764607
"17",0.8,20.4279291788737,0.00343162549972007,0.0119197398650849,-0.0199310646358463,0.0267943156352865,0.287894328111298,1.00343752026746,0.98026624598829,1.0271565110001,0.773427628712343
"18",0.85,21.7174990863715,0.0032720646225864,0.013691671529344,-0.0235636115749278,0.0301077408201006,0.238982115191247,1.00327742366949,0.97671184251415,1.0305655619511,0.811119450989601
"19",0.9,23.0333516102541,0.00297980421078444,0.0158560007239288,-0.028097957208116,0.0340575656296849,0.187929116721566,1.00298424824037,0.97229311901681,1.0346441649567,0.850932217533944
"20",0.95,24.6373539401917,0.00246973900570227,0.0190010383565371,-0.0347722961731104,0.0397117741845149,0.129979160052197,1.00247279132337,0.965825313340867,1.0405108288863,0.896582914672255
"21",1,32.3285614082971,-0.00143751730223145,0.03975768483235,-0.0793625795736375,0.0764875449691745,-0.036156967094366,0.998563515430849,0.923704947174885,1.07948874518784,0.971157198818777
