"","Percentile","Temperature","alpha","se.alpha","lower.alpha","upper.alpha","z","ROR","ROR.lower","ROR.upper","pvalue2sided"
"1",0,-31.924629292084,0.141323825017873,0.0820488477938902,-0.0194919166581522,0.302139566693897,1.72243521777275,1.15179756846919,0.980696822464292,1.35275001238198,0.0849907086080621
"2",0.05,-5.8872813346069,0.00827637668446322,0.0169398251217253,-0.0249256805541184,0.0414784339230449,0.48857509596417,1.00831072057224,0.975382399214128,1.04235068219405,0.625142547922742
"3",0.1,-2.77175146513314,0.000486976965294463,0.0141393946473978,-0.0272262365436053,0.0282001904741942,0.0344411466995926,1.00048709555783,0.973141056549258,1.02860158004963,0.972525372599287
"4",0.15,-0.778927431951452,-0.0030513855610113,0.0126470236610464,-0.0278395519366623,0.0217367808146397,-0.241273017493416,0.996953265184301,0.972544397148561,1.02197474570389,0.809343522150658
"5",0.2,0.752090450214694,-0.00494427601637582,0.0114978913303514,-0.0274801430238646,0.0175915909911129,-0.430015893725159,0.995067926796645,0.972894001094612,1.01774723435989,0.667184079702421
"6",0.25,2.15666859944664,-0.00601577269919459,0.0103485715120169,-0.0262989728627478,0.0142674274643586,-0.581314309149719,0.994002285831239,0.974043833398754,1.01436969298408,0.561028638415355
"7",0.3,3.69965262307396,-0.00642503475579096,0.008895176022031,-0.0238595797589717,0.0110095102473898,-0.722305521540872,0.993595561645543,0.976422809658161,1.01107033792804,0.47010665891847
"8",0.35,5.33988411406302,-0.00593990559510364,0.00704401757033093,-0.0197461800329523,0.00786636884274498,-0.843255363263465,0.994077700766845,0.980447498878828,1.0078973900101,0.399085641145697
"9",0.4,6.97083180745445,-0.00457614675009796,0.0048855992579348,-0.0141519212956502,0.00499962779545425,-0.936660276150515,0.995434307856091,0.985947746425329,1.00501214678924,0.348933335879675
"10",0.45,8.64554830024134,-0.00249082476563292,0.00245915704229008,-0.00731077256852147,0.00232912303725564,-1.0128774709375,0.997512274764378,0.992715886124479,1.00233183755139,0.311118690636985
"11",0.5,10.2958338419597,0,0,0,0,NA,1,1,1,NA
"12",0.55,11.9426137664874,0.00267566463324125,0.00238355304712517,-0.00199609933912408,0.00734742860560657,1.12255300399897,1.00267924741859,0.998005891542276,1.0073744871889,0.261627384413937
"13",0.6,13.6333429972331,0.00536884268047429,0.00463190783139872,-0.00370969666906719,0.0144473820300158,1.15909963580882,1.00538328074334,0.996297175754792,1.01455224986707,0.246415574327022
"14",0.65,15.3597999754127,0.00779562893395075,0.00663117152101873,-0.00520146724724596,0.0207927251151474,1.17560357310033,1.00782609396242,0.994812036959474,1.02101039989017,0.239753327056598
"15",0.7,17.047509765625,0.00960283262092152,0.00830335667743678,-0.00667174646685456,0.0258774117086976,1.15650007508601,1.00964908775965,0.993350460220364,1.02621513880183,0.247476668875833
"16",0.75,18.6328497609147,0.0107252312026024,0.00980258424382994,-0.00848783391530426,0.0299382963205091,1.09412282881968,1.0107829526689,0.99154808604758,1.03039095307883,0.273901111367702
"17",0.8,20.0851828121443,0.0113007849193853,0.0113209054434619,-0.0108881897497999,0.0334897595885706,0.998222710703042,1.01136488000332,0.989170872035216,1.03405685450443,0.318171376147021
"18",0.85,21.5180424379321,0.0114783362155371,0.0131095616468822,-0.0142164046123521,0.0371730770434263,0.875569795902896,1.01154446509096,0.985884171294334,1.03787263722148,0.38126395134853
"19",0.9,23.0302258989486,0.0112812073729717,0.0154178162183949,-0.0189377124150824,0.0415001271610257,0.731699432213501,1.01134508015426,0.981240479439053,1.04237329440072,0.464352043054615
"20",0.95,24.9643103400932,0.0105132535095896,0.0190690353331145,-0.0268620557433149,0.0478885627624941,0.551325923201407,1.01056871193839,0.97349552037857,1.04905374515916,0.581410270940186
"21",1,36.922514851888,-0.00239640059815533,0.0543759275100439,-0.108973218517841,0.104180417321531,-0.0440709833908155,0.997606468477482,0.896754433589505,1.10980066411769,0.964847822203358
